source_text,translated_text,quorum_decision,disposition_rationale,decision_ref,proposal_sha256
Hectogram/Litre,هكتوجرام/لتر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Hectometer,هكتومتر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Hectopascal,هكتوباسكال,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
"Here, you can select a senior of this Employee. Based on this, Organization Chart will be populated.",هنا يمكنك تحديد المسؤول المباشر لهذا الموظف. وبناءً على ذلك، سيتم ملء الهيكل التنظيمي.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Hertz,هرتز,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Holiday Date {0} added multiple times,تاريخ العطلة {0} تمت إضافته عدة مرات,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Holidays,العطلات,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Horsepower,حصان,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Horsepower-Hours,,EXCEPTION-technical (keep vendor rendering; no translation),Technical UOM/force unit token; retain vendor rendering; no catalog release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Hour,ساعة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Hundredweight (UK),قنطار (بريطاني),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Hundredweight (US),قنطار (أمريكي),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Iches Of Water,بوصة ماء,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Implementation Partner,شريك التنفيذ,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Import Data,استيراد البيانات,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Inch,بوصة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Inch Pound-Force,بوصة رطل-قوة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Inch/Minute,بوصة/دقيقة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Inch/Second,بوصة/ثانية,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Inches Of Mercury,بوصة زئبق,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Initialize Summary Table,تهيئة جدول الملخص,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Internal,داخلي,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Internet Publishing,النشر عبر الإنترنت,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Investment Banking,الخدمات المصرفية الاستثمارية,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Is Half Day,نصف يوم,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Item Group wise Discount,خصم حسب مجموعة الأصناف,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Joining,الانضمام,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Joule,جول,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Joule/Meter,جول/متر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kelvin,كلفن,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kg,كجم,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kiloampere,كيلو أمبير,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kilocalorie,كيلو سعرة حرارية,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kilocoulomb,كيلو كولوم,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kilogram-Force,,EXCEPTION-technical (keep vendor rendering; no translation),Technical UOM/force unit token; retain vendor rendering; no catalog release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kilogram/Cubic Centimeter,كيلوجرام/سنتيمتر مكعب,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kilogram/Cubic Meter,كيلوجرام/متر مكعب,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kilogram/Litre,كيلوجرام/لتر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kilohertz,كيلوهرتز,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kilojoule,كيلوجول,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kilometer,كيلومتر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kilometer/Hour,كيلومتر/ساعة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kilopascal,كيلوباسكال,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kilopond,كيلوبوند,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kilopound-Force,,EXCEPTION-technical (keep vendor rendering; no translation),Technical UOM/force unit token; retain vendor rendering; no catalog release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kilowatt,كيلوواط,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kilowatt-Hour,,EXCEPTION-technical (keep vendor rendering; no translation),Technical UOM/force unit token; retain vendor rendering; no catalog release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Kip,كيب,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Knot,عقدة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
LIFO,الأخير داخل أول خارج,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Legal Entity / Subsidiary with a separate Chart of Accounts belonging to the Organization.,كيان قانوني / شركة تابعة بدليل حسابات منفصل يتبع للمنظمة.,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
License Plate,لوحة المركبة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Litre,لتر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Litre-Atmosphere,,EXCEPTION-technical (keep vendor rendering; no translation),Technical UOM/force unit token; retain vendor rendering; no catalog release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Manager,مدير,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Managing Director,العضو المنتدب,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Marketing Specialist,أخصائي تسويق,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Mass Mailing,بريد جماعي,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Megacoulomb,ميجا كولوم,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Megagram/Litre,ميجاجرام/لتر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Megahertz,ميجاهرتز,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Megajoule,ميجاجول,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Megawatt,ميجاواط,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Messaging CRM Campagin,حملة الرسائل في إدارة علاقات العملاء,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Meter,متر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Meter Of Water,متر ماء,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Meter/Second,متر/ثانية,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Microbar,مايكروبار,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Microgram,مايكروجرام,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Microgram/Litre,مايكروجرام/لتر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Micrometer,مايكرومتر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Microsecond,مايكروثانية,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Mile,ميل,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Mile (Nautical),ميل (بحري),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Mile/Hour,ميل/ساعة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Mile/Minute,ميل/دقيقة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Mile/Second,ميل/ثانية,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Milibar,ميليبار,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Milliampere,ميلي أمبير,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Millicoulomb,ميلي كولوم,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Milligram,مليجرام,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Milligram/Cubic Centimeter,مليجرام/سنتيمتر مكعب,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Milligram/Cubic Meter,مليجرام/متر مكعب,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Milligram/Cubic Millimeter,مليجرام/مليمتر مكعب,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Milligram/Litre,مليجرام/لتر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Millihertz,ميلي هرتز,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Millilitre,مليلتر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Millimeter,مليمتر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Millimeter Of Mercury,مليمتر زئبق,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Millimeter Of Water,مليمتر ماء,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Millisecond,ميلي ثانية,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Model,الطراز,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Motion Picture & Video,الإنتاج السينمائي والفيديو,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Music,الموسيقى والإنتاج الصوتي,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Nanocoulomb,نانو كولوم,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Nanogram/Litre,نانوجرام/لتر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Nanohertz,نانوهيرتز,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Nanometer,نانومتر,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Nanosecond,نانوثانية,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Newspaper Publishers,دور نشر الصحف,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Newton,نيوتن,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Nos,عدد,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Not authorized since {0} exceeds limits,غير مصرح به لأن {0} يتجاوز الحدود,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
O+,+O,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
O-,-O,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Offer Date,تاريخ العرض,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Oldest Of Invoice Or Advance,الأقدم بين الفاتورة أو الدفعة المقدمة,"preserved-site-override (not imported, plan §12)",Preserve the exact live v16.localhost Site Override; do not import or replace.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Online Auctions,المزادات الإلكترونية,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Ounce,أونصة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Ounce-Force,,EXCEPTION-technical (keep vendor rendering; no translation),Technical UOM/force unit token; retain vendor rendering; no catalog release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Ounce/Cubic Foot,أونصة/قدم مكعب,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Ounce/Cubic Inch,أونصة/بوصة مكعبة,quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Ounce/Gallon (UK),أونصة/جالون (بريطاني),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
Ounce/Gallon (US),أونصة/جالون (أمريكي),quorum-confirmed-payload,AI draft; requires independent A1/A2/A3 quorum before release.,stage6-W6-5 Setup owner-approved 2026-09-24,7b0a4215c710d0c7f9469ee76d3be7ea1d964767d605acd465282294e7578970
