msgid,msgstr,context,locations,comments,review_notes
[Future] Bidding and Tender,[مستقبلا] العطاءات والمناقصات,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the sb_future_bidding (Section Break) field in DocType 'BOQ Item',
[Future] Cost Control,[مستقبلا] مراقبة التكاليف,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the sb_future_cost_control (Section Break) field in DocType 'BOQ | Item',
[Future] Payment Certification,[مستقبلا] اعتماد الدفعات,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the sb_future_payment (Section Break) field in DocType 'BOQ Item',
[Future] Progress Measurement,[مستقبلا] قياس التقدم,,construction/construction/doctype/boq_item/boq_item.json:None,Label of the sb_future_progress (Section Break) field in DocType 'BOQ Item',
dark,داكن,,construction/construction/doctype/construction_theme/construction_theme.json:None,Option for the 'Color Scheme' (Select) field in DocType 'Construction Theme',
lft,يسار,,construction/construction/doctype/boq_structure/boq_structure.json:None,Label of the lft (Int) field in DocType 'BOQ Structure',
light,فاتح,,construction/construction/doctype/construction_theme/construction_theme.json:None,Option for the 'Color Scheme' (Select) field in DocType 'Construction Theme',
old_parent,الأصل السابق,,construction/construction/doctype/boq_structure/boq_structure.json:None,Label of the old_parent (Link) field in DocType 'BOQ Structure',
rgt,يمين,,construction/construction/doctype/boq_structure/boq_structure.json:None,Label of the rgt (Int) field in DocType 'BOQ Structure',
{0} is required,{0} مطلوب,,construction/api/modern_form_api.py:254; construction/api/modern_form_api.py:404,,
{0} must be a number,يجب أن يكون {0} رقما,,construction/api/modern_form_api.py:262; construction/api/modern_form_api.py:412,,
{0} must be a valid date,يجب أن يكون {0} تاريخا صالحا,,construction/api/modern_form_api.py:266,,
{0} must be a valid email,يجب أن يكون {0} بريدا إلكترونيا صالحا,,construction/api/modern_form_api.py:270,,
